s,l,min,max
https://w3id.org/metpo/1000339,extreme hyperthermophile,90,125
https://w3id.org/metpo/1000338,extreme thermophile,60,80
https://w3id.org/metpo/1000161,hyperthermophile,80,115
https://w3id.org/metpo/1000181,mesophile,20,45
https://w3id.org/metpo/1000259,psychrophile,0,20
https://w3id.org/metpo/1000336,psychrotolerant,0,45
https://w3id.org/metpo/1000487,temperature delta high,30,
https://w3id.org/metpo/1000484,temperature delta low,5,10
https://w3id.org/metpo/1000485,temperature delta mid1,10,20
https://w3id.org/metpo/1000486,temperature delta mid2,20,30
https://w3id.org/metpo/1000483,temperature delta very low,1,5
https://w3id.org/metpo/1000447,temperature optimum high,40,
https://w3id.org/metpo/1000442,temperature optimum low,10,22
https://w3id.org/metpo/1000443,temperature optimum mid1,22,27
https://w3id.org/metpo/1000444,temperature optimum mid2,27,30
https://w3id.org/metpo/1000445,temperature optimum mid3,30,34
https://w3id.org/metpo/1000446,temperature optimum mid4,34,40
https://w3id.org/metpo/1000441,temperature optimum very low,,10
https://w3id.org/metpo/1000454,temperature range high,40,
https://w3id.org/metpo/1000449,temperature range low,10,22
https://w3id.org/metpo/1000450,temperature range mid1,22,27
https://w3id.org/metpo/1000451,temperature range mid2,27,30
https://w3id.org/metpo/1000452,temperature range mid3,30,34
https://w3id.org/metpo/1000453,temperature range mid4,34,40
https://w3id.org/metpo/1000448,temperature range very low,,10
https://w3id.org/metpo/1000308,thermophile,45,80
https://w3id.org/metpo/1000337,thermotolerant,0,50
