isolation_source	count	percentage
host_animal_endotherm	14895	28.66
host_animal_endotherm_nasopharyngeal	7851	15.10
soil	3833	7.37
host_animal_endotherm_intestinal	3724	7.16
host_animal_endotherm_blood	2332	4.49
food	2012	3.87
host_plant	1492	2.87
water_marine	1436	2.76
host	1374	2.64
host_animal_ectotherm	1333	2.56
host_animal_endotherm_oral	1055	2.03
sediment_marine	756	1.45
water_fresh	741	1.43
host_plant_root-associated	725	1.39
host_animal_endotherm_intratissue	625	1.20
wastewater	563	1.08
water	543	1.04
host_animal_endotherm_surface	513	0.99
built_environment_surfaces	464	0.89
water_groundwater_surface	460	0.88
water_hotspring	453	0.87
water_hypersaline	419	0.81
host_animal_endotherm_vagina	349	0.67
host_animal	329	0.63
bioreactor/digester	283	0.54
sediment_fresh	269	0.52
milk	238	0.46
host_animal_endotherm_feces	230	0.44
food_fermented	212	0.41
sediment_marine_hydrothermal	177	0.34
sludge	176	0.34
sediment	176	0.34
rock_deep	176	0.34
host_animal_endotherm_rumen	151	0.29
compost	130	0.25
soil_agricultural	128	0.25
soil_contaminated	112	0.22
petroleum	111	0.21
host_plant_leaf-associated	104	0.20
host_algae	101	0.19
water_marine_hydrothermal	84	0.16
sediment_hypersaline	76	0.15
soil_forest	70	0.13
soil_hydrocarbon_contaminated	63	0.12
soil_arid	57	0.11
host_plant_rootnodule	53	0.10
host_fungus	43	0.08
biofilm	40	0.08
sediment_brackish	38	0.07
soil_mineral	37	0.07
soil_grassland	35	0.07
soil_organic_peat	34	0.07
soil_organic_permafrost	30	0.06
volcanic_active	29	0.06
water_brackish	28	0.05
sediment_fresh_alkaline	27	0.05
water_fresh_alkaline	24	0.05
soil_saline	22	0.04
litter	20	0.04
sediment_marine_deep	19	0.04
rock	18	0.03
water_marine_cold	14	0.03
bioreactor	12	0.02
soil_marshland	9	0.02
water_fresh_cold	9	0.02
hypersaline	7	0.01
sediment_marine_cold	6	0.01
water_marine_deep	6	0.01
rock_surface	5	0.01
host_plant_vasculature	4	0.01
water_groundwater	4	0.01
water_groundwater_deepsubsurface	3	0.01
plant	1	0.00
other	1	0.00
