sample_type	org_name	tax_id	species_tax_id	ref_id
tax_id_sample	Aquifex pyrophilus	2714	2714	
tax_id_sample	Ferroglobus placidus	54261	54261	
tax_id_sample	Clostridium perfringens	1502	1502	
tax_id_sample	Calderobacterium hydrogenophilum	35835	35835	
tax_id_sample	Veillonella alcalescens	29466	29466	
tax_id_sample	Pyrobaculum aerophilum	13773	13773	
tax_id_sample	Micrococcus denitrificans	266	266	
tax_id_sample	Thiobacillus denitrificans	36861	36861	
tax_id_sample	Aerobacter aerogenes	548	548	
tax_id_sample	Pseudomonas aeruginosa	287	287	
ref_id_sample	Aquifex pyrophilus			2
ref_id_sample	Ferroglobus placidus			1
ref_id_sample	Calderobacterium hydrogenophilum			5
ref_id_sample	Pyrobaculum aerophilum			7
ref_id_sample	Thiobacillus denitrificans			3
ref_id_sample	Thermothrix thioparus			8
ref_id_sample	Silicibacter lacuscaerulensis			6
ref_id_sample	Aquifex pyrophilus			2
ref_id_sample	Paracoccus denitrificans			3
ref_id_sample	Ammonifex degensii			9
