?class	?label
<https://w3id.org/metpo/1000801>	"Aerobic respiration"
<https://w3id.org/metpo/1000802>	"Anaerobic respiration"
<https://w3id.org/metpo/1002003>	"Cable bacteria metabolism"
<https://w3id.org/metpo/1000806>	"Disproportionation"
<https://w3id.org/metpo/1000805>	"Electron transfer"
<https://w3id.org/metpo/1000846>	"Homoacetogenesis"
<https://w3id.org/metpo/1001008>	"NaCl delta observation"
<https://w3id.org/metpo/1001022>	"NaCl observation"
<https://w3id.org/metpo/1001009>	"NaCl range observation"
<https://w3id.org/metpo/1000803>	"Oxidative phosphorylation"
<https://w3id.org/metpo/1000804>	"Substrate-level phosphorylation"
<https://w3id.org/metpo/1002006>	"Syntrophy"
<https://w3id.org/metpo/1003003>	"acidophilic"
<https://w3id.org/metpo/1003008>	"acidotolerant"
<https://w3id.org/metpo/1003009>	"alkalotolerant"
<https://w3id.org/metpo/1003002>	"alkaphilic"
<https://w3id.org/metpo/1001102>	"biosafety level 1"
<https://w3id.org/metpo/1001103>	"biosafety level 2"
<https://w3id.org/metpo/1001104>	"biosafety level 3"
<https://w3id.org/metpo/1001105>	"biosafety level 4"
<https://w3id.org/metpo/1000633>	"carboxydotrophic"
<https://w3id.org/metpo/1000526>	"chemical entity"
<https://w3id.org/metpo/1000721>	"extreme hyperthermophilic"
<https://w3id.org/metpo/1003007>	"facultatively acidophilic"
<https://w3id.org/metpo/1003005>	"facultatively alkaphilic"
<https://w3id.org/metpo/1001007>	"growth NaCl observation"
<https://w3id.org/metpo/1001017>	"growth oxygen observation"
<https://w3id.org/metpo/1001012>	"growth pH observation"
<https://w3id.org/metpo/1001002>	"growth temperature observation"
<https://w3id.org/metpo/1000646>	"hydrogenotrophic"
<https://w3id.org/metpo/1000525>	"microbe"
<https://w3id.org/metpo/1003001>	"neutrophilic"
<https://w3id.org/metpo/1003006>	"obligately acidophilic"
<https://w3id.org/metpo/1003004>	"obligately alkaphilic"
<https://w3id.org/metpo/1001010>	"optimum NaCl observation"
<https://w3id.org/metpo/1001016>	"optimum oxygen observation"
<https://w3id.org/metpo/1001013>	"optimum pH observation"
<https://w3id.org/metpo/1001001>	"optimum temperature observation"
<https://w3id.org/metpo/1001019>	"oxygen delta observation"
<https://w3id.org/metpo/1001020>	"oxygen observation"
<https://w3id.org/metpo/1001018>	"oxygen range observation"
<https://w3id.org/metpo/1001014>	"pH delta observation"
<https://w3id.org/metpo/1001023>	"pH observation"
<https://w3id.org/metpo/1001015>	"pH range observation"
<https://w3id.org/metpo/1001004>	"temperature delta observation"
<https://w3id.org/metpo/1001021>	"temperature observation"
<https://w3id.org/metpo/1001003>	"temperature range observation"
